SocialGroup,Alarm,hwk
solo,0,1
msf,1,1
solo,0,1
solo,0,1
pair,0,1
msf,0,1
msf,0,1
msf,0,1
msf,0,1
msf,1,1
msf,1,1
solo,0,1
msf,0,0
msf,0,0
pair,1,1
solo,0,0
lek,0,1
pair,0,1
pair,1,1
solo,0,1
solo,0,1
solo,0,1
msf,0,0
pair,0,0
msf,0,1
msf,0,1
msf,0,1
solo,0,1
solo,0,1
msf,0,1
solo,0,0
ssf,1,1
msf,0,1
pair,1,1
msf,0,0
msf,0,1
pair,0,0
solo,0,1
msf,0,0
msf,0,1
msf,0,0
msf,1,1
msf,0,1
pair,0,0
solo,0,0
msf,0,1
solo,0,1
pair,0,0
lek,0,1
pair,0,1
msf,0,0
solo,0,0
solo,0,0
msf,0,0
pair,0,1
pair,0,1
lek,0,0
lek,0,1
ssf,0,1
lek,0,1
msf,0,0
msf,0,0
msf,1,1
msf,0,1
solo,0,0
pair,0,1
msf,0,1
solo,0,1
solo,0,1
solo,0,1
solo,0,1
msf,1,1
pair,0,1
msf,1,1
ssf,0,0
msf,0,1
msf,0,0
msf,1,1
msf,0,1
msf,0,0
lek,0,1
ssf,0,1
msf,0,1
solo,0,1
lek,0,0
pair,0,1
msf,1,1
solo,0,1
msf,1,1
solo,1,1
solo,0,1
pair,0,1
msf,0,1
ssf,0,1
pair,0,1
msf,1,1
ssf,1,1
ssf,1,1
msf,1,1
msf,1,1
solo,0,1
pair,0,1
solo,0,1
msf,0,1
solo,0,1
msf,0,1
msf,0,1
msf,1,1
msf,1,1
pair,0,1
msf,0,1
solo,0,1
solo,1,1
msf,1,1
solo,0,1
solo,0,1
msf,1,1
msf,0,1
msf,0,1
msf,1,1
solo,0,1
pair,0,1
msf,0,1
solo,0,1
pair,1,1
lek,0,1
pair,1,1
pair,0,1
pair,0,1
pair,0,1
pair,1,1
ssf,0,1
ssf,0,1
solo,0,1
solo,0,1
ant,1,1
lek,0,1
pair,0,1
solo,0,1
msf,1,1
pair,0,1
solo,1,1
msf,1,1
lek,0,1
pair,1,1
solo,0,1
pair,0,1
msf,1,1
pair,0,1
pair,0,1
pair,0,1
pair,1,1
msf,0,1
lek,0,1
solo,0,1
pair,0,1
msf,0,1
msf,1,1
msf,0,1
ssf,0,1
solo,0,1
ssf,0,1
msf,1,1
lek,0,1
pair,1,1
msf,1,1
msf,0,1
solo,0,1
pair,0,1
msf,1,1
ssf,1,1
msf,0,1
msf,0,1
msf,0,1
solo,0,1
pair,0,1
msf,0,1
msf,1,1
msf,1,1
msf,1,1
pair,0,1
solo,0,1
pair,0,1
msf,0,1
msf,1,1
solo,0,1
msf,0,1
msf,0,1
msf,0,1
ant,0,1
msf,0,1
ssf,1,1
solo,0,1
msf,0,1
pair,0,1
ssf,0,1
ssf,0,1
pair,0,1
solo,0,1
msf,0,1
ssf,1,1
solo,0,1
msf,1,1
solo,0,1
msf,0,1
msf,0,1
ant,0,1
ant,0,1
msf,1,1
pair,0,1
lek,0,1
ssf,0,1
solo,0,1
pair,0,1
solo,0,1
solo,0,1
pair,0,1
ssf,0,1
msf,1,1
ant,0,1
msf,0,1
msf,0,1
solo,0,1
lek,0,1
pair,0,1
solo,0,1
msf,0,1
msf,1,1
lek,0,1
msf,0,1
ant,0,1
msf,0,1
solo,0,1
solo,0,1
lek,0,1
msf,0,1
solo,0,1
lek,0,1
msf,1,1
msf,1,1
solo,0,1